path,ext,bytes,sha256_16,brand_class,proposed_action
docs-site/app/favicon.ico,.ico,32528,3172a2258c17a2b9,generic_ui,Review
docs-site/public/images/continue-logo-light.png,.png,32528,3172a2258c17a2b9,continue_branded,Replace or regenerate
docs/favicon.png,.png,30835,0476a2b1781547d4,generic_ui,Review
docs/images/ask-continue-5aff7cbb94c0be066510331c09a3c377.png,.png,101020,cfc919e3e45ee71c,continue_branded,Replace or regenerate
docs/images/ask-continue.png,.png,101020,cfc919e3e45ee71c,continue_branded,Replace or regenerate
docs/images/assets/images/continue-console-d387a10c2918c117c6c253a3b5f18c22.png,.png,114081,4a767f2cfd0f0ead,continue_branded,Replace or regenerate
docs/images/assets/images/intro-0c302b9c15b890c251b1ad04586c880f.png,.png,225663,42cb3b0d2d4cb0e2,duplicate,Dedup later
docs/images/assets/images/prerelease-9bed93e846914165d30a3b227a680d9b.png,.png,126529,d0073749717a16c5,duplicate,Dedup later
docs/images/cn-demo.gif,.gif,7126574,df09c4150954e90e,cn_named,Rename with alc
docs/images/configure-continue-a5c8c79f3304c08353f3fc727aa5da7e.png,.png,59494,7633e3d2917f544b,continue_branded,Replace or regenerate
docs/images/configure-continue.png,.png,59494,7633e3d2917f544b,continue_branded,Replace or regenerate
docs/images/continue-console-d387a10c2918c117c6c253a3b5f18c22.png,.png,114081,4a767f2cfd0f0ead,continue_branded,Replace or regenerate
docs/images/continue-console.png,.png,114081,4a767f2cfd0f0ead,continue_branded,Replace or regenerate
docs/images/continue-screenshot.png,.png,200263,42aea0027863545e,continue_branded,Replace or regenerate
docs/images/continue-screenshot2.png,.png,531452,10289e5bae39d4e0,continue_branded,Replace or regenerate
docs/images/continue-settings-card-layout.png,.png,159886,70e2d665529ab9e5,continue_branded,Replace or regenerate
docs/images/continue-social-card.png,.png,99869,d86d82ddf393105f,continue_branded,Replace or regenerate
docs/images/customize/assets/images/configure-continue-a5c8c79f3304c08353f3fc727aa5da7e.png,.png,59494,7633e3d2917f544b,continue_branded,Replace or regenerate
docs/images/customize/assets/images/context-provider-example-0c96ff77286fa970b23dddfdc1fa986a.png,.png,61845,9b3fb7a2cd819220,duplicate,Dedup later
docs/images/customize/assets/images/mcp-blocks-overview-c9a104f9b586779c156f9cf34da197c2.png,.png,1725971,510bba32ae259ea2,duplicate,Dedup later
docs/images/customize/assets/images/model-blocks-overview-36c30e7e01928d7a9b5b26ff1639c34b.png,.png,1772574,6806f8a2c2c7491e,duplicate,Dedup later
